order,machine,gt
• date098 item6289 21268 0 5,"• machine29 5.87
• machine17 2.0
• machine06 10.0
• machine32 7.98
• machine01 2.0
• machine20 13.0
• machine33 5.78
• machine03 3.0
• machine09 3.0
• machine05 6.75","• machine05 1
• machine06 1
• machine29 1
• machine33 1"
• date098 item6294 109155 0 19,"• machine32 19.54
• machine20 20.0
• machine16 16.0
• machine01 31.0
• machine05 17.6
• machine33 20.7
• machine17 13.0","• machine01 1
• machine05 2
• machine16 1
• machine17 2
• machine20 1
• machine32 1
• machine33 1"
• date098 item6546 29252 0 11,"• machine22 4.38
• machine21 3.67
• machine28 4.67","• machine21 4
• machine22 6
• machine28 1"
• date098 item762 20957 0 159,"• machine28 10.46
• machine07 8.82
• machine22 8.95
• machine04 10.21
• machine23 12.42
• machine34 10.17
• machine14 9.31
• machine30 10.55
• machine09 9.51
• machine08 8.72
• machine21 9.72
• machine12 8.12
• machine10 10.3
• machine35 8.56
• machine18 13.0
• machine20 9.12
• machine31 8.88","• machine04 2
• machine07 19
• machine08 4
• machine09 5
• machine10 19
• machine12 12
• machine14 10
• machine18 22
• machine20 9
• machine21 4
• machine22 13
• machine23 5
• machine28 2
• machine30 3
• machine31 7
• machine34 2
• machine35 21"
• date098 item770 27907 1 10,"• machine28 4.22
• machine25 3.92
• machine14 3.07","• machine14 3
• machine25 2
• machine28 5"
• date098 item799 6332 0 1,"• machine31 0.75
• machine21 0.54
• machine14 1.45
• machine08 0.57",
• date098 item878 33640 0 24,"• machine09 4.75
• machine21 3.7
• machine08 5.74","• machine08 6
• machine09 9
• machine21 9"
• date099 item1100 11941 0 27,"• machine22 2.86
• machine09 2.54
• machine08 2.63
• machine10 2.02
• machine29 1.78
• machine21 2.54
• machine30 4.02
• machine23 2.33
• machine31 2.44
• machine04 2.38
• machine28 3.32
• machine25 3.75","• machine04 1
• machine08 1
• machine09 1
• machine10 4
• machine21 1
• machine22 3
• machine23 3
• machine25 3
• machine28 1
• machine29 3
• machine30 3
• machine31 3"
• date099 item1230 26391 0 37,"• machine22 4.0
• machine23 5.2
• machine08 5.16
• machine34 5.18
• machine21 5.01
• machine31 5.3
• machine09 4.52
• machine28 4.33","• machine08 6
• machine09 3
• machine21 1
• machine22 4
• machine23 6
• machine28 4
• machine31 7
• machine34 7"
• date099 item1314 98424 0 179,"• machine21 3.0
• machine06 17.0
• machine19 15.55
• machine18 20.33
• machine20 21.06
• machine01 18.73
• machine33 15.5
• machine32 16.02
• machine05 15.86
• machine16 16.88
• machine17 23.0","• machine01 8
• machine05 7
• machine06 4
• machine16 6
• machine17 3
• machine18 4
• machine19 3
• machine20 1
• machine21 11
• machine32 3
• machine33 4"
• date099 item1350 179208 0 78,• machine17 39.33,• machine17 78
• date099 item1400 6498 0 12,"• machine24 1.58
• machine10 5.31","• machine10 10
• machine24 2"
• date099 item1589 15015 0 6,"• machine23 5.34
• machine29 7.33
• machine28 6.13
• machine14 8.19","• machine14 1
• machine23 2
• machine28 3
• machine29 1"
• date099 item1594 81204 0 16,"• machine23 9.84
• machine10 7.34","• machine10 8
• machine23 8"
• date099 item1623 6498 0 3,"• machine09 5.5
• machine08 1.52",• machine08 3
• date099 item1743 52115 0 11,"• machine33 7.83
• machine08 4.92","• machine08 6
• machine33 5"
• date099 item1800 6498 0 4,• machine23 2.33,• machine23 4
• date099 item187 9195 0 21,"• machine31 5.28
• machine14 1.0
• machine35 5.23
• machine34 5.03
• machine22 5.05","• machine14 6
• machine22 6
• machine31 5
• machine34 2
• machine35 2"
• date099 item1922 77242 1 3,• machine09 7.3,• machine09 3
• date099 item1982 102669 0 24,"• machine29 4.58
• machine23 16.5
• machine08 4.47","• machine08 14
• machine23 9
• machine29 1"
• date099 item2053 6498 1 6,• machine23 3.0,• machine23 6
• date099 item2166 18691 0 10,• machine09 5.0,• machine09 10
• date099 item2343 6498 1 3,• machine21 3.67,• machine21 3
• date099 item2456 6498 0 1,• machine21 1.75,• machine21 1
• date099 item2482 52115 0 11,• machine10 5.82,• machine10 11
• date099 item2800 6498 0 2,• machine08 1.19,• machine08 2
• date099 item2857 6498 0 3,"• machine23 3.0
• machine10 3.33","• machine10 2
• machine23 1"
• date099 item2900 179208 0 5,• machine04 11.0,• machine04 5
• date099 item2991 12881 1 18,"• machine21 4.33
• machine09 5.17","• machine09 2
• machine21 16"
• date099 item3012 52115 0 2,• machine08 5.67,• machine08 2
• date099 item3045 6498 0 2,"• machine28 1.0
• machine21 0.81","• machine21 1
• machine28 1"
• date099 item3102 179208 0 112,"• machine03 110.0
• machine06 114.23","• machine03 27
• machine06 85"
• date099 item3146 52115 0 11,• machine21 5.67,• machine21 11
• date099 item3329 6498 1 4,• machine10 2.17,• machine10 4
• date099 item3373 27907 0 22,"• machine10 3.5
• machine28 4.09
• machine23 4.0","• machine10 4
• machine23 10
• machine28 7"
• date099 item3534 6332 0 2,"• machine21 1.73
• machine08 2.42
• machine10 2.5
• machine28 2.5","• machine08 1
• machine28 1"
• date099 item3674 6498 0 1,• machine10 1.5,• machine10 1
• date099 item3758 6516 0 2,"• machine10 2.32
• machine23 3.83
• machine29 2.25
• machine21 2.19
• machine08 3.58
• machine22 3.55",• machine29 1
• date099 item4034 6332 0 3,"• machine22 6.33
• machine21 2.11
• machine30 0.83
• machine10 4.33","• machine21 1
• machine22 1
• machine30 1"
• date099 item4256 27256 1 2,"• machine34 2.0
• machine21 2.0
• machine23 3.0","• machine21 1
• machine34 1"
• date099 item4329 6498 0 1,• machine22 1.33,• machine22 1
• date099 item4362 81204 1 4,• machine09 8.33,• machine09 4
• date099 item4407 100388 1 320,"• machine09 14.14
• machine14 13.73
• machine33 13.56
• machine32 12.64
• machine04 13.46
• machine20 14.67
• machine28 16.5
• machine01 13.87
• machine05 14.14
• machine08 14.14
• machine29 12.97
• machine21 12.44","• machine01 32
• machine04 4
• machine05 21
• machine08 38
• machine09 23
• machine14 28
• machine20 38
• machine21 30
• machine28 17
• machine29 41
• machine32 32
• machine33 11"
• date099 item4439 104092 0 61,"• machine09 11.0
• machine23 10.0
• machine29 16.0
• machine10 7.1
• machine28 10.5
• machine04 7.71","• machine04 4
• machine09 10
• machine10 20
• machine23 16
• machine28 1
• machine29 1"
• date099 item4534 6498 0 3,• machine28 3.59,• machine28 3
• date099 item4912 6498 0 1,"• machine21 1.32
• machine28 1.67",• machine28 1
• date099 item4953 101291 0 19,"• machine33 10.23
• machine32 9.47","• machine32 5
• machine33 14"
• date099 item50 179208 1 24,• machine04 12.31,• machine04 24
• date099 item5143 81204 0 8,"• machine33 10.14
• machine32 6.4","• machine32 3
• machine33 5"
• date099 item5304 27256 0 7,"• machine08 2.08
• machine21 3.35
• machine22 2.38","• machine08 2
• machine21 2
• machine22 3"
• date099 item5655 17409 0 19,"• machine04 5.0
• machine30 4.8
• machine31 5.12
• machine09 5.97","• machine04 6
• machine09 2
• machine30 6
• machine31 6"
• date099 item5796 15218 0 64,"• machine28 8.55
• machine34 6.0
• machine04 7.2
• machine31 6.13
• machine10 5.0","• machine04 15
• machine10 11
• machine28 8
• machine31 17
• machine34 14"
• date099 item5897 179208 1 400,• machine16 200.0,• machine16 400
• date099 item5947 8493 0 16,"• machine32 4.5
• machine21 4.41","• machine21 3
• machine32 13"
• date099 item5979 6498 0 5,• machine32 2.5,• machine32 5
• date099 item6076 6332 0 2,"• machine30 3.82
• machine29 1.17
• machine09 3.67
• machine12 1.0","• machine29 1
• machine30 1"
• date099 item6365 20951 1 51,"• machine22 5.78
• machine09 5.14
• machine21 4.53
• machine07 4.92
• machine28 5.0
• machine23 7.82
• machine14 5.67
• machine30 6.09
• machine08 5.53
• machine35 5.27","• machine08 1
• machine09 1
• machine14 7
• machine21 3
• machine22 9
• machine23 7
• machine28 1
• machine30 12
• machine35 8"
• date099 item6397 7149 0 3,"• machine34 4.5
• machine23 3.22",• machine23 3
• date099 item6450 100388 0 11,"• machine07 9.5
• machine14 10.96
• machine04 13.11
• machine31 12.0
• machine21 10.56
• machine09 11.55
• machine33 11.59
• machine03 12.33
• machine10 12.17
• machine23 10.58
• machine20 10.96
• machine17 13.0
• machine08 11.23
• machine06 14.23
• machine34 10.7
• machine05 13.17
• machine35 10.24
• machine16 12.0
• machine32 10.41","• machine03 1
• machine05 1
• machine09 1
• machine10 1
• machine14 1
• machine16 1
• machine17 1
• machine23 1
• machine31 1
• machine34 1"
• date099 item6509 104092 0 301,"• machine17 53.65
• machine06 58.73
• machine02 43.0
• machine08 53.65
• machine19 41.0
• machine16 53.65","• machine02 6
• machine06 55
• machine08 9
• machine16 81
• machine17 71
• machine19 79"
• date099 item675 6332 0 8,"• machine30 1.0
• machine08 1.55
• machine28 1.0
• machine23 1.83","• machine08 2
• machine23 2
• machine28 4"
• date099 item687 179208 0 10,"• machine23 16.74
• machine10 4.49",• machine10 10
• date100 item1003 179208 0 53,"• machine05 18.37
• machine01 20.0
• machine32 15.66","• machine01 10
• machine05 16
• machine32 3"
• date100 item1017 27256 0 10,"• machine09 5.0
• machine08 4.4
• machine29 1.02","• machine08 3
• machine09 3
• machine29 3"
• date100 item1304 40323 0 13,"• machine35 4.68
• machine31 4.9
• machine21 5.67","• machine21 5
• machine31 6
• machine35 3"
• date100 item1361 25510 1 64,"• machine30 4.87
• machine22 5.05
• machine14 5.47
• machine31 5.53
• machine33 5.35
• machine23 4.44
• machine21 5.29
• machine34 5.89
• machine09 5.37
• machine08 5.66
• machine32 5.86
• machine05 5.0
• machine04 6.0","• machine04 2
• machine05 3
• machine08 9
• machine09 4
• machine14 4
• machine21 4
• machine22 7
• machine23 7
• machine30 4
• machine31 6
• machine32 7
• machine33 6
• machine34 1"
• date100 item157 40323 0 5,"• machine23 6.5
• machine28 5.33
• machine09 3.67","• machine09 2
• machine23 1
• machine28 2"
• date100 item1707 8065 1 2,• machine29 4.0,• machine29 2
• date100 item1723 8493 0 9,• machine08 4.5,• machine08 9
• date100 item1858 77242 0 7,• machine23 7.5,• machine23 7
• date100 item1924 179208 0 70,"• machine32 13.5
• machine03 4.0
• machine05 18.25","• machine03 3
• machine05 3
• machine32 3"
• date100 item2026 6498 0 1,• machine23 1.0,• machine23 1
• date100 item2210 6498 0 12,"• machine23 3.0
• machine10 3.0","• machine10 5
• machine23 7"
• date100 item2356 179208 1 7,• machine23 14.84,• machine23 7
• date100 item2563 104092 1 110,"• machine19 110.0
• machine17 110.0
• machine01 110.0
• machine06 112.95
• machine16 110.0
• machine03 110.0","• machine01 8
• machine03 5
• machine06 1
• machine16 5
• machine17 6
• machine19 2"
• date100 item2599 81204 1 4,• machine32 8.75,• machine32 4
• date100 item2651 73747 0 5,"• machine09 9.5
• machine28 1.33
• machine21 6.83","• machine09 2
• machine21 2
• machine28 1"
• date100 item2727 12881 0 2,• machine21 4.82,• machine21 2
• date100 item2843 8065 0 2,• machine21 4.0,• machine21 2
• date100 item3107 27256 0 8,"• machine10 3.05
• machine28 3.0
• machine21 2.8","• machine10 4
• machine21 1
• machine28 4"
• date100 item3222 86940 0 62,"• machine10 9.82
• machine23 7.92
• machine09 8.21
• machine14 9.82
• machine21 8.04
• machine08 7.21
• machine28 8.41
• machine33 6.83","• machine08 3
• machine09 1
• machine10 3
• machine14 1
• machine21 1
• machine23 1
• machine28 2
• machine33 3"
• date100 item3302 179208 0 30,• machine10 15.0,• machine10 30
• date100 item3389 6498 0 2,• machine10 1.0,• machine10 2
• date100 item3514 52115 0 2,• machine14 5.83,• machine14 2
• date100 item400 6498 0 5,• machine14 2.51,• machine14 5
• date100 item4111 106952 1 216,"• machine28 50.0
• machine32 20.0
• machine06 18.41
• machine19 20.0","• machine06 7
• machine19 9
• machine28 6
• machine32 10"
• date100 item415 103554 0 18,• machine08 9.11,• machine08 18
• date100 item4233 6498 0 1,• machine30 3.0,• machine30 1
• date100 item4257 6332 0 2,"• machine34 1.82
• machine10 2.11
• machine30 2.42
• machine31 2.5","• machine10 1
• machine34 1"
• date100 item429 99504 0 7,"• machine09 7.22
• machine35 6.15
• machine23 8.63","• machine23 5
• machine35 2"
• date100 item4577 20470 0 40,"• machine08 1.83
• machine10 2.84
• machine04 3.67
• machine29 2.0
• machine28 2.84
• machine21 3.67
• machine22 4.6
• machine23 3.5","• machine04 3
• machine08 3
• machine10 4
• machine21 2
• machine22 5
• machine23 7
• machine28 10
• machine29 7"
• date100 item5180 52115 1 13,"• machine08 5.57
• machine04 8.0",• machine08 13
• date100 item5358 103554 1 38,"• machine28 4.12
• machine21 15.18","• machine21 22
• machine28 16"
• date100 item544 52115 1 22,"• machine07 5.22
• machine14 6.72","• machine07 18
• machine14 4"
• date100 item5467 15015 1 21,"• machine09 6.67
• machine21 5.33
• machine34 5.92
• machine35 5.73","• machine21 7
• machine34 7
• machine35 6"
• date100 item5564 104092 0 292,"• machine06 22.06
• machine19 32.0
• machine32 22.66
• machine01 35.0
• machine03 35.0","• machine01 11
• machine03 4
• machine06 11
• machine19 5
• machine32 5"
• date100 item565 100388 0 116,"• machine21 10.38
• machine08 10.89
• machine14 9.42
• machine09 10.08
• machine28 10.06
• machine35 8.92
• machine29 9.8
• machine22 11.38
• machine30 10.55
• machine10 9.23
• machine23 9.88
• machine04 11.53","• machine04 7
• machine08 7
• machine09 7
• machine10 12
• machine14 10
• machine21 5
• machine22 11
• machine23 6
• machine28 5
• machine29 13
• machine30 11
• machine35 5"
• date100 item5788 103554 0 38,"• machine10 9.3
• machine28 10.12","• machine10 1
• machine28 3"
• date100 item5795 179208 0 106,• machine17 53.0,• machine17 106
• date100 item583 179208 0 50,"• machine01 13.0
• machine20 12.32","• machine01 38
• machine20 12"
• date100 item6042 6498 0 1,• machine14 0.31,• machine14 1
• date100 item6043 6498 0 2,• machine09 2.7,• machine09 2
• date100 item6125 6516 0 30,"• machine23 3.22
• machine10 1.83
• machine28 3.33
• machine22 2.42
• machine08 3.08
• machine21 3.33","• machine08 1
• machine10 3
• machine21 8
• machine22 9
• machine23 9
• machine28 1"
• date100 item613 6498 0 8,"• machine23 2.0
• machine22 2.87","• machine22 4
• machine23 4"
• date100 item6214 7149 0 7,• machine10 3.93,• machine10 7
• date100 item6219 179208 0 12,• machine04 25.0,• machine04 10
• date100 item6318 16724 0 76,"• machine31 4.67
• machine09 3.57
• machine08 4.82
• machine07 3.68
• machine21 4.85
• machine34 5.02
• machine35 5.07
• machine28 4.72
• machine10 6.17","• machine08 1
• machine09 4
• machine10 2
• machine21 4
• machine28 3
• machine31 5
• machine34 1
• machine35 5"
• date100 item6347 32174 0 8,"• machine18 12.5
• machine19 9.09
• machine16 15.0
• machine20 13.38
• machine32 9.07
• machine05 11.06
• machine01 3.5
• machine33 9.7
• machine06 3.17
• machine03 8.96
• machine17 3.0","• machine01 1
• machine05 1
• machine06 1
• machine17 1
• machine18 1
• machine19 1
• machine20 1
• machine32 1
• machine33 1"
• date100 item6423 179208 0 78,"• machine04 21.95
• machine05 18.73","• machine04 15
• machine05 63"
• date100 item712 103554 0 19,• machine16 9.67,• machine16 19
• date100 item744 57641 1 88,"• machine03 6.97
• machine16 6.0
• machine19 4.4
• machine17 7.27
• machine01 5.54
• machine20 6.89
• machine14 8.65
• machine05 7.92
• machine02 10.0
• machine06 6.5
• machine32 6.09
• machine18 12.16
• machine33 5.18","• machine01 14
• machine02 18
• machine03 4
• machine06 2
• machine14 7
• machine16 4
• machine18 4
• machine19 6
• machine20 7
• machine32 17
• machine33 6"
• date100 item763 45856 0 72,"• machine23 8.11
• machine14 9.1
• machine21 9.07
• machine08 8.17
• machine28 8.72
• machine22 8.7
• machine31 7.95
• machine09 8.17
• machine07 7.67","• machine07 4
• machine08 11
• machine09 13
• machine14 11
• machine21 1
• machine22 8
• machine23 14
• machine28 3
• machine31 5"
• date100 item78 27256 0 12,"• machine23 2.0
• machine34 3.92
• machine21 1.0","• machine21 2
• machine23 4
• machine34 6"
• date100 item869 52115 0 12,• machine33 6.32,• machine33 12
• date100 item886 6983 0 26,"• machine09 3.37
• machine34 4.07
• machine23 3.82
• machine30 3.67","• machine09 8
• machine23 9
• machine30 4
• machine34 5"
• date100 item971 179208 0 46,• machine04 23.0,• machine04 46
• date100 item984 6983 0 3,"• machine09 3.71
• machine08 3.55
• machine21 4.16
• machine14 3.32","• machine08 1
• machine09 1
• machine14 1"
• date101 item01 103554 0 19,• machine09 9.5,• machine09 19
• date101 item1028 13583 0 27,"• machine24 6.0
• machine22 4.97
• machine31 4.32
• machine14 4.55
• machine21 5.0
• machine09 4.42","• machine09 3
• machine14 2
• machine21 5
• machine22 5
• machine24 7
• machine31 4"
• date101 item130 6498 0 6,"• machine34 2.47
• machine25 4.0","• machine25 4
• machine34 2"
• date101 item1447 179208 0 7,• machine30 14.15,• machine30 7
• date101 item1505 7149 0 3,• machine08 3.79,• machine08 3
• date101 item1515 179208 0 29,• machine05 14.75,• machine05 29
• date101 item1653 52115 0 11,• machine08 5.83,• machine08 11
• date101 item1689 6498 0 6,• machine23 3.0,• machine23 6
• date101 item2150 27256 0 14,"• machine22 2.0
• machine28 3.5
• machine10 2.0","• machine10 6
• machine22 2
• machine28 7"
• date101 item222 8065 0 2,• machine25 4.17,• machine25 2
• date101 item2227 52115 0 3,• machine04 6.0,• machine04 3
• date101 item2285 6498 0 6,• machine21 3.0,• machine21 6
• date101 item2514 27256 0 3,"• machine10 2.84
• machine21 2.88
• machine28 4.0","• machine10 1
• machine21 1"
• date101 item2515 6498 0 12,"• machine09 3.0
• machine21 3.0","• machine09 4
• machine21 8"
• date101 item2530 179208 1 24,• machine05 24.0,• machine05 24
• date101 item2627 6498 1 2,• machine28 2.84,• machine28 2
• date101 item2707 6498 0 1,• machine21 1.45,• machine21 1
• date101 item2898 179208 0 70,"• machine21 27.5
• machine09 7.33
• machine20 1.83","• machine09 16
• machine20 49
• machine21 5"
• date101 item2996 26140 0 9,"• machine09 5.0
• machine21 4.33","• machine09 4
• machine21 5"
• date101 item3075 179208 0 40,"• machine20 16.0
• machine05 4.0","• machine05 23
• machine20 17"
• date101 item3230 6498 1 10,"• machine08 3.42
• machine21 2.0","• machine08 6
• machine21 4"
• date101 item3429 179208 0 24,• machine05 24.85,• machine05 24
• date101 item3582 86821 0 3,• machine23 7.83,• machine23 3
• date101 item366 10156 0 46,"• machine28 2.82
• machine09 3.0
• machine10 2.82
• machine30 4.82
• machine22 4.82
• machine35 2.36
• machine31 2.7
• machine08 2.04
• machine21 2.72","• machine08 3
• machine09 14
• machine10 5
• machine21 2
• machine28 6
• machine30 3
• machine31 1
• machine35 13"
• date101 item3748 81204 0 4,• machine28 8.83,• machine28 4
• date101 item3792 179208 0 71,• machine05 35.67,• machine05 71
• date101 item3883 6498 0 2,• machine22 2.91,• machine22 2
• date101 item3989 179208 0 5,• machine29 11.51,• machine29 5
• date101 item4003 179208 0 21,"• machine33 11.5
• machine32 10.0","• machine32 3
• machine33 18"
• date101 item4053 179208 1 34,"• machine16 35.0
• machine19 33.21","• machine16 13
• machine19 21"
• date101 item4109 6498 0 1,• machine30 1.0,• machine30 1
• date101 item4173 6498 0 4,• machine30 2.21,• machine30 4
• date101 item4177 179208 0 103,• machine02 103.33,• machine02 103
• date101 item4181 73747 1 5,"• machine04 6.17
• machine28 5.25
• machine10 5.0","• machine04 1
• machine10 1
• machine28 3"
• date101 item4319 109155 0 334,"• machine17 25.74
• machine05 33.0
• machine06 22.23
• machine16 24.0
• machine03 28.7
• machine19 24.67
• machine01 11.02","• machine01 19
• machine03 35
• machine05 58
• machine06 39
• machine16 6
• machine17 38
• machine19 38"
• date101 item435 102669 1 8,"• machine31 11.0
• machine14 7.25
• machine23 8.5","• machine14 6
• machine23 2
• machine31 1"
• date101 item4474 100388 0 11,"• machine28 10.03
• machine04 11.33
• machine05 11.0
• machine20 12.0
• machine08 9.66
• machine32 11.06
• machine14 9.66
• machine35 11.0
• machine33 9.67
• machine30 11.0
• machine29 17.42
• machine21 9.22
• machine09 11.12","• machine04 1
• machine05 1
• machine08 1
• machine09 1
• machine20 1
• machine21 1
• machine28 1
• machine29 1
• machine32 1
• machine33 1
• machine35 1"
• date101 item4481 6332 0 10,"• machine34 3.25
• machine10 3.41
• machine31 2.57
• machine28 2.75","• machine10 2
• machine28 2
• machine31 5
• machine34 2"
• date101 item4496 52115 0 12,• machine14 6.07,• machine14 12
• date101 item4580 12881 0 9,• machine10 4.83,• machine10 9
• date101 item496 8600 1 4,"• machine30 5.3
• machine29 3.25
• machine34 3.68
• machine22 3.34
• machine31 5.0
• machine09 3.67","• machine09 1
• machine22 1
• machine29 1
• machine31 1"
• date101 item504 179208 1 35,"• machine19 13.0
• machine32 9.87
• machine01 13.6","• machine01 11
• machine32 24"
• date101 item5188 86821 0 7,"• machine32 9.68
• machine33 5.83","• machine32 3
• machine33 4"
• date101 item5193 6498 0 3,"• machine10 2.43
• machine28 1.77","• machine10 1
• machine28 2"
• date101 item548 109155 0 192,"• machine06 10.52
• machine20 12.29
• machine18 27.0
• machine19 12.6
• machine32 12.31
• machine05 13.54
• machine33 10.6","• machine05 55
• machine06 14
• machine18 42
• machine19 11
• machine20 33
• machine32 2
• machine33 35"
• date101 item5659 15015 0 23,"• machine08 6.17
• machine14 6.67
• machine09 6.8
• machine21 5.67","• machine08 8
• machine09 3
• machine14 12"
• date101 item5746 8065 1 8,"• machine08 5.17
• machine09 3.0","• machine08 7
• machine09 1"
• date101 item5981 179208 0 11,• machine31 11.67,• machine31 11
• date101 item6127 27256 0 1,"• machine21 1.02
• machine36 1.5
• machine08 1.0",
• date101 item6301 35875 0 104,"• machine21 6.32
• machine05 7.0
• machine35 6.5
• machine14 6.54
• machine08 7.07
• machine09 7.34
• machine34 6.17
• machine32 7.0","• machine05 16
• machine08 12
• machine09 16
• machine14 5
• machine21 3
• machine32 14
• machine34 15
• machine35 22"
• date101 item732 26335 1 64,"• machine09 4.8
• machine34 4.44
• machine30 4.81
• machine22 5.36
• machine07 4.82
• machine35 5.35
• machine31 7.17
• machine14 5.18
• machine28 6.76
• machine23 5.02
• machine10 6.5
• machine21 5.88
• machine08 4.81","• machine07 6
• machine08 5
• machine09 3
• machine10 7
• machine14 4
• machine21 6
• machine22 3
• machine23 4
• machine28 4
• machine30 6
• machine31 5
• machine34 2
• machine35 7"
• date101 item75 6498 0 10,"• machine34 3.92
• machine21 2.0","• machine21 6
• machine34 4"
• date101 item771 6498 1 1,"• machine30 0.72
• machine08 1.0",• machine30 1
• date101 item821 179208 0 40,"• machine08 10.67
• machine10 10.85","• machine08 16
• machine10 24"
• date101 item960 179208 0 9,• machine03 19.33,• machine03 9
• date102 item1040 179208 1 50,"• machine16 13.0
• machine03 12.5","• machine03 31
• machine16 19"
• date102 item1278 179208 0 56,"• machine08 14.83
• machine23 14.5","• machine08 22
• machine23 34"
• date102 item1323 86821 0 8,• machine13 8.0,• machine13 8
• date102 item1364 43171 0 9,"• machine32 11.88
• machine23 6.5
• machine04 9.5
• machine08 11.0","• machine04 4
• machine08 2
• machine23 3
• machine32 1"
• date102 item1500 6516 0 26,"• machine10 3.42
• machine21 2.33
• machine14 3.42
• machine28 2.0
• machine09 3.5","• machine09 3
• machine10 7
• machine14 6
• machine21 3
• machine28 7"
• date102 item1550 145749 0 206,"• machine20 10.17
• machine04 15.8
• machine21 13.0
• machine07 10.61
• machine06 16.0
• machine23 11.11
• machine03 13.0
• machine05 15.33","• machine03 8
• machine04 10
• machine05 15
• machine06 7
• machine07 3
• machine20 15
• machine21 12
• machine23 4"
• date102 item1676 52115 0 11,• machine23 5.98,• machine23 11
• date102 item168 6498 0 4,"• machine28 2.16
• machine10 2.0","• machine10 2
• machine28 2"
• date102 item1689 6498 0 1,• machine23 3.0,• machine23 1
• date102 item1755 31160 0 30,• machine09 15.0,• machine09 30
• date102 item1892 34772 0 5,"• machine29 6.0
• machine08 1.0
• machine09 8.97","• machine08 1
• machine09 2
• machine29 2"
• date102 item1946 6498 0 12,"• machine29 3.21
• machine08 3.09","• machine08 5
• machine29 7"
• date102 item2033 179208 0 10,"• machine23 7.0
• machine20 14.83","• machine20 5
• machine23 5"
• date102 item2174 9195 0 44,"• machine29 6.0
• machine21 4.17
• machine09 4.5
• machine28 4.17
• machine14 4.17","• machine09 5
• machine14 7
• machine21 5
• machine28 11
• machine29 16"
• date102 item2345 52115 0 13,• machine23 6.84,• machine23 13
• date102 item2643 18691 0 5,• machine21 5.09,• machine21 5
• date102 item2702 52115 1 6,• machine28 6.32,• machine28 6
• date102 item3304 179208 0 46,"• machine10 11.0
• machine21 12.67",• machine10 3
• date102 item3500 12881 0 2,• machine28 4.75,• machine28 2
• date102 item3577 18691 1 2,• machine22 5.0,• machine22 2
• date102 item3617 179208 0 18,• machine05 18.71,• machine05 18
• date102 item3665 12881 0 9,• machine23 4.67,• machine23 9
• date102 item372 3452 0 36,"• machine10 2.32
• machine28 2.59
• machine21 2.44
• machine31 2.21
• machine30 2.4
• machine08 2.31
• machine22 2.34
• machine14 3.0
• machine35 1.92","• machine08 4
• machine10 3
• machine14 3
• machine21 5
• machine22 4
• machine28 5
• machine30 5
• machine31 5
• machine35 3"
• date102 item3830 10156 0 46,"• machine21 2.14
• machine10 3.87
• machine30 2.5
• machine29 3.02
• machine22 4.82
• machine33 4.0
• machine09 1.0
• machine08 1.97
• machine28 3.82","• machine08 7
• machine09 5
• machine10 9
• machine21 4
• machine22 6
• machine28 3
• machine29 7
• machine30 4
• machine33 2"
• date102 item3923 23977 0 5,"• machine22 5.61
• machine10 5.67
• machine21 5.53
• machine14 5.49
• machine28 5.67
• machine33 5.45
• machine09 6.11
• machine30 5.67
• machine08 5.05","• machine09 1
• machine10 1
• machine14 1
• machine22 1
• machine33 1"
• date102 item3925 179208 0 127,"• machine05 40.0
• machine19 40.0
• machine20 47.8","• machine05 15
• machine19 65
• machine20 46"
• date102 item3955 77242 0 3,• machine29 6.94,• machine29 3
• date102 item3974 24244 0 5,"• machine23 5.7
• machine08 5.05
• machine21 4.32
• machine04 6.25
• machine09 4.7
• machine14 5.17
• machine10 5.0","• machine04 1
• machine08 1
• machine09 1
• machine10 1
• machine14 1
• machine21 1
• machine23 1"
• date102 item4008 179208 1 20,• machine05 41.0,• machine05 20
• date102 item4030 6498 0 4,"• machine22 1.0
• machine30 1.0","• machine22 3
• machine30 1"
• date102 item4084 32819 0 39,"• machine08 2.88
• machine23 5.5
• machine35 6.17
• machine09 5.34
• machine33 5.83
• machine28 5.13
• machine14 5.17
• machine04 6.33","• machine04 9
• machine08 1
• machine09 4
• machine14 4
• machine23 11
• machine33 2
• machine35 9"
• date102 item4504 179208 0 154,• machine19 77.33,• machine19 154
• date102 item4591 104092 1 646,"• machine16 55.0
• machine17 75.95
• machine19 70.03
• machine06 63.87
• machine02 60.0","• machine02 88
• machine06 124
• machine16 1
• machine17 224
• machine19 209"
• date102 item4617 104092 1 66,"• machine14 9.42
• machine10 13.89
• machine21 14.0
• machine28 14.88
• machine04 16.67","• machine04 9
• machine10 17
• machine14 18
• machine21 11
• machine28 11"
• date102 item4770 179208 1 35,"• machine05 45.0
• machine20 26.0","• machine05 11
• machine20 24"
• date102 item4994 6498 0 1,"• machine28 1.84
• machine23 1.06",• machine28 1
• date102 item5147 179208 0 20,• machine35 10.07,• machine35 20
• date102 item5289 179208 1 18,"• machine06 36.33
• machine16 10.0
• machine19 10.5","• machine06 2
• machine16 15
• machine19 2"
• date102 item5293 104092 0 35,"• machine05 35.0
• machine20 35.65
• machine16 37.71
• machine17 34.0
• machine19 35.0","• machine05 8
• machine16 3
• machine17 7
• machine19 9
• machine20 8"
• date102 item5416 8493 0 8,"• machine07 4.75
• machine14 4.37","• machine07 2
• machine14 6"
