order,gt
date127 item5775 179208 1 162,machine05 143 • machine20 19
date182 item3487 6498 0 1,machine21 1
date191 item4999 179208 0 58,machine18 58
date064 item3411 6498 1 2,machine10 2
date290 item134 6498 1 1,machine34 1
date065 item4612 179208 1 5,machine10 5
date267 item5673 6498 0 6,machine31 6
date098 item5883 6498 0 2,machine23 2
date355 item5469 8493 0 8,machine14 6 • machine21 2
date320 item419 22344 0 27,machine01 7 • machine03 10 • machine06 4 • machine16 4 • machine19 1 • machine32 1
date239 item6448 179208 0 66,machine16 52 • machine20 14
date168 item5191 179208 0 88,machine06 47 • machine19 41
date118 item2211 6498 1 1,machine23 1
date219 item697 6498 0 2,machine23 2
date078 item3880 12881 0 2,machine22 2
date045 item128 6498 0 3,machine07 3
date071 item512 13140 0 5,machine08 5
date292 item3014 77242 0 30,machine20 4 • machine32 26
date345 item3693 7168 0 36,machine08 9 • machine09 8 • machine14 6 • machine21 8 • machine23 5
date088 item2315 179208 0 64,machine20 64
date014 item2926 6498 1 1,machine21 1
date180 item4547 24645 0 4,nan
date269 item2314 6498 0 6,machine28 6
date184 item3870 8065 0 4,machine28 4
date131 item3974 24244 0 34,machine04 2 • machine08 7 • machine09 7 • machine10 9 • machine14 4 • machine21 4 • machine23 1
date319 item3083 52115 1 11,machine10 11
date182 item828 179208 0 44,machine21 9 • machine28 35
date008 item6307 6498 0 1,machine23 1
date214 item2048 13140 0 5,machine09 3 • machine23 2
date111 item4418 15218 0 60,machine08 4 • machine09 1 • machine21 12 • machine32 17 • machine33 25
date158 item2313 179208 0 26,machine20 11 • machine32 15
date246 item1192 6498 0 1,machine30 1
date112 item5389 104092 0 59,machine09 5 • machine14 17 • machine28 4 • machine33 16 • machine35 17
date035 item5456 6498 1 2,machine21 2
date083 item2624 101291 0 19,machine20 19
date238 item3667 179208 0 26,machine01 20 • machine05 6
date039 item169 6498 0 12,machine10 10 • machine35 2
date237 item4165 95463 0 10,machine08 2 • machine09 1 • machine14 1 • machine29 1 • machine32 1 • machine33 2
date362 item3700 179208 0 20,machine23 20
date342 item5505 7168 0 19,machine07 2 • machine08 3 • machine10 1 • machine21 7 • machine23 4 • machine28 2
date157 item6161 20470 1 3,machine10 1 • machine29 1 • machine31 1
date190 item1445 8493 0 4,machine29 3 • machine30 1
date181 item3496 10666 0 4,machine08 1 • machine10 1 • machine28 1 • machine32 1
date243 item6102 179208 0 80,machine01 6 • machine21 44 • machine23 30
date273 item4665 22344 0 24,machine08 8 • machine10 9 • machine21 2 • machine22 3 • machine28 2
date023 item5756 8493 0 4,machine04 4
date099 item3373 27907 0 22,machine10 12 • machine23 9 • machine28 1
date180 item4122 6498 0 2,machine30 2
date133 item2229 34128 0 8,machine10 2 • machine23 2 • machine28 3
date203 item644 18691 0 5,machine23 5
date303 item6011 13140 1 2,machine08 2
date284 item804 6498 0 1,machine22 1
date227 item3628 6498 0 5,machine22 5
date029 item6500 6498 1 12,machine08 7 • machine09 5
date167 item2201 31029 0 9,machine18 3 • machine20 2 • machine32 4
date045 item348 6498 0 2,machine22 1 • machine30 1
date335 item6257 105576 0 394,machine01 26 • machine03 70 • machine05 93 • machine06 32 • machine17 11 • machine19 22 • machine20 100 • machine32 35 • machine33 5
date159 item4251 8416 1 28,machine08 8 • machine09 5 • machine10 5 • machine21 3 • machine23 4 • machine28 1 • machine30 2
date341 item3374 179208 0 10,machine05 10
date351 item5972 81204 0 8,machine05 3 • machine32 5
date220 item2040 8000 0 14,machine08 3 • machine23 2 • machine28 5 • machine29 4
date362 item4984 6498 0 1,machine21 1
date139 item1642 77242 0 3,machine08 3
date249 item1753 179208 0 15,machine32 15
date325 item5287 179208 0 66,machine01 2 • machine06 51 • machine19 13
date072 item5468 33640 0 4,machine07 1 • machine08 2 • machine35 1
date267 item3655 6332 0 6,machine10 2 • machine21 1 • machine22 2 • machine23 1
date091 item4104 179208 1 128,machine06 128
date049 item836 179208 1 24,machine23 24
date162 item2104 6498 0 3,machine08 3
date082 item2773 179208 1 6,machine21 6
date346 item1731 6498 0 3,machine29 3
date314 item3118 106952 0 14,machine04 5 • machine05 3 • machine20 4 • machine32 3
date162 item2990 6498 0 3,machine21 3
date070 item5763 6498 0 1,machine25 1
date290 item5645 15015 0 50,machine09 22 • machine23 4 • machine28 4 • machine30 19
date138 item5086 179208 1 122,machine06 20 • machine19 102
date321 item4898 77242 0 3,machine28 3
date196 item2432 77242 0 7,machine28 7
date141 item240 8641 0 70,machine04 3 • machine07 9 • machine08 15 • machine15 5 • machine21 8 • machine22 6 • machine31 9 • machine32 1 • machine34 8 • machine35 6
date153 item4844 98424 0 252,machine01 35 • machine03 26 • machine05 46 • machine06 9 • machine10 13 • machine16 12 • machine19 27 • machine20 18 • machine28 22 • machine32 39 • machine33 6
date326 item3966 26335 0 130,machine04 13 • machine05 2 • machine08 17 • machine09 17 • machine10 12 • machine14 17 • machine21 1 • machine23 4 • machine28 7 • machine29 16 • machine32 12 • machine33 14
date210 item3428 77242 0 3,machine23 3
date353 item2359 6498 0 1,machine14 1
date351 item2805 179208 0 27,machine10 24 • machine28 3
date202 item1684 179208 1 12,machine23 12
date028 item4903 34772 1 5,machine10 3 • machine22 2
date099 item4953 101291 0 19,machine33 19
date282 item4899 10500 0 25,machine08 3 • machine10 6 • machine21 4 • machine22 4 • machine28 4 • machine30 2 • machine35 3
date179 item2341 104092 0 120,machine04 3 • machine05 21 • machine20 45 • machine32 25 • machine33 26
date153 item1178 40551 0 244,machine04 19 • machine05 26 • machine07 5 • machine08 21 • machine09 15 • machine10 7 • machine14 11 • machine20 18 • machine21 16 • machine22 8 • machine23 14 • machine28 20 • machine30 23 • machine33 13 • machine34 15 • machine35 10
date350 item5854 13583 0 44,machine08 16 • machine09 7 • machine21 9 • machine23 9 • machine30 3
date278 item2829 104092 0 284,machine01 50 • machine03 47 • machine06 65 • machine16 64 • machine19 58
date327 item5416 8493 0 4,machine07 1 • machine14 3
date282 item4919 100388 0 12,machine01 1 • machine04 1 • machine05 1 • machine06 1 • machine10 1 • machine19 2 • machine20 1 • machine28 1 • machine29 2 • machine32 1
date003 item454 73747 0 36,machine21 15 • machine22 7 • machine30 14
date300 item2801 6498 0 4,machine21 2 • machine28 2
date223 item739 9518 0 3,machine21 1
date136 item1792 179208 0 80,machine19 80
date259 item3184 6498 0 1,machine23 1
date315 item6064 50351 1 7,machine04 2 • machine08 2 • machine09 1 • machine34 1
date197 item3032 6498 0 2,machine10 1 • machine28 1
date250 item2851 81204 0 8,machine23 8
date067 item4721 179208 0 20,machine18 20
date347 item6337 6498 1 4,machine09 4
date305 item5625 179208 0 53,machine04 44 • machine05 9
date299 item5275 9195 0 4,machine21 1 • machine22 1 • machine23 1 • machine30 1
date068 item700 6498 0 1,machine21 1
date331 item676 105576 0 12,machine08 2 • machine10 3 • machine14 1 • machine23 3 • machine28 1 • machine29 1 • machine33 1 • machine34 1
date230 item5920 6516 0 3,machine08 1 • machine21 1 • machine22 1
date023 item2248 6498 0 3,machine23 3
date146 item5596 6498 0 1,machine21 1
date123 item2486 52115 0 12,machine20 12
date329 item579 41048 0 8,machine04 1 • machine05 1 • machine09 1 • machine20 1 • machine23 1 • machine34 1
date294 item1797 103554 0 9,machine32 9
date286 item1518 179208 0 14,machine05 14
date365 item844 81204 0 34,machine04 27 • machine20 7
date241 item12 40311 1 88,machine04 27 • machine08 22 • machine09 17 • machine16 15 • machine29 7
date158 item5740 104092 0 160,machine04 12 • machine08 25 • machine09 52 • machine20 54 • machine21 17
date192 item646 104092 0 11,machine04 1 • machine05 2 • machine10 2 • machine20 2 • machine23 1 • machine34 2
date362 item1403 8493 0 9,machine09 9
date300 item2568 6498 0 3,machine21 3
date060 item3073 12881 0 2,machine23 2
date047 item1987 6516 0 3,machine10 1 • machine32 1
date114 item5251 179208 1 66,machine20 66
date113 item6205 81204 0 8,machine19 4 • machine32 4
date265 item5651 52115 1 22,machine10 18 • machine28 4
date130 item3885 179208 0 34,machine05 2 • machine29 32
date296 item3166 179208 0 36,machine05 36
date255 item6613 27256 0 10,machine24 1 • machine30 3 • machine31 6
date224 item5025 52115 1 24,machine10 15 • machine22 9
date351 item5687 9195 1 42,machine07 2 • machine14 14 • machine21 5 • machine34 7 • machine35 14
date290 item5642 8493 0 9,machine28 9
date340 item4502 15015 0 24,machine05 8 • machine14 8 • machine21 3 • machine30 5
date154 item2029 103554 0 19,machine23 19
date099 item687 179208 0 10,machine10 5 • machine23 5
date110 item2983 12881 0 4,machine10 2 • machine21 2
date315 item3594 17409 0 40,machine08 10 • machine10 12 • machine21 13 • machine23 5
date346 item2555 6498 0 1,machine21 1
date161 item522 14901 1 5,machine08 2 • machine09 1 • machine23 1 • machine28 1
date099 item2343 6498 1 3,machine21 3
date362 item5749 23148 0 64,machine03 7 • machine08 12 • machine09 13 • machine10 6 • machine14 13 • machine21 1 • machine23 7 • machine28 5
date064 item5665 13232 0 32,machine07 12 • machine09 7 • machine21 11 • machine34 1
date217 item1487 6498 0 2,machine29 1 • machine30 1
date032 item1062 179208 0 73,machine02 73
date350 item6616 15483 0 60,machine04 10 • machine08 9 • machine10 7 • machine14 15 • machine15 4 • machine21 4 • machine28 11
date041 item723 6498 0 8,machine09 2 • machine28 6
date052 item4947 6516 0 22,machine08 1 • machine09 5 • machine10 5 • machine21 3 • machine23 4 • machine30 5
date314 item695 6498 0 1,machine23 1
date234 item4305 102669 0 8,machine08 3 • machine21 3 • machine30 2
date247 item4487 6516 1 24,machine07 6 • machine08 3 • machine09 4 • machine21 4 • machine22 5 • machine30 1
date194 item1144 27907 0 22,machine08 6 • machine09 8 • machine10 7
date350 item3910 47491 0 7,machine05 1 • machine08 1 • machine14 2 • machine22 2 • machine28 2
date227 item2895 6498 0 1,machine21 1
date211 item2519 8493 0 8,machine21 8
date089 item1782 18691 0 2,machine29 2
date209 item1613 104092 0 13,machine01 5 • machine04 3 • machine09 1 • machine21 4
date204 item690 15015 0 42,machine10 8 • machine23 12 • machine29 17 • machine34 5
date051 item5497 12881 1 9,machine04 9
date181 item3757 27256 0 14,machine10 6 • machine23 5 • machine28 3
date197 item5971 15218 0 6,machine05 1 • machine17 2 • machine32 1 • machine33 2
date201 item4066 179208 0 57,machine06 57
date313 item771 6498 0 2,machine08 1 • machine30 1
date182 item639 145749 0 146,machine01 29 • machine04 4 • machine05 30 • machine18 22 • machine20 14 • machine21 17 • machine32 11 • machine33 19
date035 item4994 6498 0 2,machine23 2
date300 item5325 50351 1 30,machine08 4 • machine14 9 • machine21 14 • machine28 3
date237 item4707 179208 0 56,machine08 2 • machine33 54
date172 item842 43937 0 33,machine04 12 • machine08 12 • machine09 8 • machine16 1
date309 item1996 52115 0 6,machine23 6
date361 item5656 14901 0 27,machine09 2 • machine10 7 • machine21 6 • machine28 5 • machine30 6
date363 item5379 12196 0 4,machine08 1 • machine10 1 • machine22 1
date143 item1847 6498 1 3,machine23 3
date320 item5457 6516 0 3,machine10 1 • machine21 1
date077 item3257 81204 0 4,machine21 4
date303 item4928 13232 0 32,machine04 11 • machine09 9 • machine21 6 • machine28 6
date024 item910 179208 0 22,machine19 22
date280 item5608 179208 0 45,machine05 45
date122 item1625 6498 1 1,machine10 1
date101 item2227 52115 0 3,machine04 3
date340 item1903 73747 0 18,machine23 8 • machine29 4 • machine32 6
date066 item3651 47491 1 90,machine05 11 • machine08 21 • machine14 25 • machine21 23 • machine32 6 • machine33 4
date003 item3291 179208 0 21,machine05 9 • machine16 12
date026 item2760 179208 0 8,machine32 8
date285 item1900 179208 0 15,machine23 15
date124 item4796 98424 0 266,machine04 28 • machine05 25 • machine08 27 • machine09 38 • machine10 9 • machine14 37 • machine20 5 • machine28 38 • machine29 6 • machine33 19 • machine34 34
date268 item1737 179208 0 14,machine20 14
date177 item5049 6498 0 1,machine23 1
date099 item4439 104092 0 61,machine04 8 • machine09 11 • machine10 16 • machine23 9 • machine28 5 • machine29 11
date201 item4522 6498 0 2,machine21 2
date280 item6428 6498 0 4,machine09 1 • machine28 3
date157 item1440 27256 0 3,machine08 1 • machine14 1 • machine28 1
date297 item3598 179208 1 86,machine32 30 • machine33 56
date325 item3998 179208 0 116,machine20 116
date183 item2650 77242 0 3,machine21 3
date089 item755 22344 1 54,machine09 13 • machine10 8 • machine21 12 • machine23 6 • machine28 12 • machine29 3
date065 item1927 104092 0 14,machine04 3 • machine05 4 • machine06 3 • machine20 2 • machine32 3
date247 item3279 6498 0 6,machine23 5 • machine28 1
date289 item2520 179208 0 45,machine09 20 • machine28 25
date302 item5046 6498 0 5,machine28 5
date046 item1623 6498 0 6,machine09 6
date269 item4537 103554 0 19,machine20 15 • machine33 4
date335 item5840 10500 0 50,machine08 17 • machine10 13 • machine21 2 • machine25 1 • machine28 6 • machine29 11
date005 item5799 6498 0 3,machine04 1 • machine30 2
date004 item177 9518 0 2,nan
date076 item543 104092 0 276,machine01 25 • machine03 82 • machine05 82 • machine19 43 • machine20 43
date098 item313 6516 1 8,machine07 3 • machine22 2 • machine24 2 • machine34 1
date258 item5776 6498 0 4,machine34 4
date310 item6056 179208 0 82,machine03 48 • machine06 34
date122 item2255 52115 0 11,machine21 11
date242 item822 179208 0 5,machine08 5
date245 item4785 69825 0 9,machine04 2 • machine21 2 • machine28 1 • machine31 2 • machine34 1
date201 item4772 179208 0 23,machine05 7 • machine06 12 • machine20 4
date181 item2114 179208 0 20,machine03 20
date201 item5133 52115 1 13,machine09 13
date063 item4585 179208 0 24,machine04 17 • machine23 7
date051 item3595 179208 1 5,machine28 5
date248 item4256 27256 0 14,machine21 6 • machine23 3 • machine34 5
date037 item3309 179208 0 80,machine01 80
date258 item727 25870 0 9,machine04 1 • machine10 1 • machine14 1 • machine23 1 • machine28 1 • machine31 1 • machine35 1
date236 item3204 13140 0 5,machine21 5
date243 item1813 81204 1 8,machine19 8
date025 item5746 8065 1 4,machine08 2 • machine09 2
date035 item3531 6516 0 34,machine09 1 • machine21 4 • machine22 6 • machine23 13 • machine30 11
date317 item3376 179208 1 34,machine05 34
date042 item2315 179208 1 16,machine20 16
date325 item4829 77242 0 3,machine23 3
date260 item2972 6498 1 1,machine21 1
date315 item5954 8844 0 32,machine04 15 • machine09 6 • machine14 10 • machine35 1
date302 item258 20470 1 3,machine11 1 • machine31 1 • machine34 1
date110 item5302 6983 1 13,machine08 1 • machine09 4 • machine10 3 • machine21 5
date352 item6092 52115 0 6,machine04 3 • machine09 3
date288 item6090 52115 1 13,machine21 13
date296 item6111 179208 0 110,machine04 52 • machine05 58
date232 item4447 9518 1 52,machine07 6 • machine08 1 • machine09 1 • machine10 1 • machine14 5 • machine21 6 • machine22 7 • machine28 8 • machine29 8 • machine30 6 • machine33 2
date038 item6078 179208 0 19,machine04 8 • machine05 11
date277 item6454 109155 0 836,machine01 113 • machine03 15 • machine06 42 • machine14 152 • machine16 76 • machine17 299 • machine19 140
date073 item5308 6498 0 5,machine23 5
date018 item2002 81204 1 16,machine32 16
date282 item3563 6498 0 3,machine21 3
date344 item5135 145749 0 20,machine05 6 • machine09 1 • machine10 1 • machine23 3 • machine28 5 • machine31 2 • machine34 3
date185 item6174 17409 0 19,machine07 6 • machine21 6 • machine34 5 • machine35 3
date080 item4812 179208 0 33,machine05 33
date079 item2635 179208 0 22,machine20 22
date113 item2626 103554 0 4,machine20 4
date184 item4702 105576 1 103,machine01 14 • machine03 11 • machine05 17 • machine06 4 • machine16 5 • machine19 10 • machine20 17 • machine32 14 • machine33 11
date215 item3063 6498 1 1,machine21 1
date193 item4931 179208 0 16,machine04 12 • machine05 3 • machine20 1
date035 item5423 12881 1 4,machine21 2 • machine35 2
date183 item2800 6498 0 1,machine08 1
date215 item2272 13140 1 2,machine21 2
date300 item334 6498 1 1,machine23 1
date344 item5845 179208 0 70,machine03 29 • machine20 29 • machine32 12
date178 item1149 41077 1 8,machine21 3 • machine25 2 • machine35 3
date176 item6482 6516 0 2,machine21 1
date364 item6544 8416 0 3,machine09 1 • machine21 1 • machine22 1
date236 item5243 12881 0 8,machine09 6 • machine32 2
date151 item3849 103554 0 9,machine08 3 • machine32 6
date235 item3538 179208 0 90,machine05 15 • machine20 66 • machine33 8
date333 item1494 86821 0 8,machine34 8
date212 item2589 6498 0 1,machine28 1
date124 item5938 20470 0 3,machine28 1
date279 item6277 8416 0 30,machine08 1 • machine09 8 • machine10 1 • machine21 4 • machine23 8 • machine28 5 • machine30 4
date126 item4397 10807 0 32,machine07 3 • machine08 1 • machine10 4 • machine20 6 • machine21 5 • machine28 4 • machine29 3 • machine34 5
date327 item1532 179208 0 10,machine33 10
date279 item4456 6498 0 4,machine21 1 • machine28 3
date322 item6529 7168 0 34,machine07 5 • machine09 10 • machine14 4 • machine21 10 • machine23 5
date243 item3357 179208 0 6,machine20 6
date209 item2633 6498 0 1,machine21 1
date247 item743 14413 0 106,machine04 2 • machine07 6 • machine08 13 • machine10 10 • machine14 9 • machine18 8 • machine21 10 • machine28 5 • machine31 12 • machine32 12 • machine33 1 • machine34 13 • machine35 4
date308 item5342 52115 1 24,machine07 12 • machine08 12
date188 item414 99504 0 42,machine08 20 • machine09 8 • machine31 14
date269 item1319 106952 0 10,machine14 6 • machine29 2 • machine31 2
date058 item3641 179208 0 24,machine05 11 • machine32 13
date167 item2683 179208 0 19,machine20 19
date250 item5703 6498 1 1,machine28 1
date258 item5062 10156 1 3,machine21 1 • machine28 1
date137 item3505 179208 0 108,machine05 36 • machine20 37 • machine32 35
date011 item6196 6498 0 1,machine01 1
date348 item3737 52115 1 12,machine29 12
date215 item5423 12881 0 18,machine21 6 • machine35 12
date050 item4279 6498 0 3,machine28 3
date344 item4413 104092 0 12,machine10 3 • machine21 2 • machine22 3 • machine30 3
date137 item4592 104092 0 521,machine02 46 • machine06 140 • machine16 125 • machine19 135 • machine32 75
date191 item2211 6498 0 1,machine23 1
date258 item5030 52115 0 11,machine32 7 • machine33 4
date144 item1078 8844 0 34,machine21 10 • machine23 3 • machine28 6 • machine31 15
date349 item6061 103554 0 9,machine29 9
date060 item43 15218 0 64,machine08 14 • machine21 12 • machine22 15 • machine23 12 • machine35 12
date164 item1108 109155 1 22,machine01 4 • machine05 1 • machine06 2 • machine16 3 • machine18 5 • machine20 2 • machine32 4
date202 item1087 179208 0 27,machine03 27
date092 item3345 6498 0 1,machine08 1
date186 item4233 6498 1 3,machine30 3
date304 item21 29252 0 20,machine10 5 • machine23 5 • machine28 10
date351 item4370 104092 0 10,machine08 1 • machine09 3 • machine21 3 • machine33 3
date147 item3822 81204 0 17,machine22 17
date031 item2812 33640 1 26,machine03 7 • machine31 8 • machine34 11
date299 item5340 103554 0 36,machine09 19 • machine10 17
date038 item4340 8493 1 2,machine28 2
date025 item3248 6516 0 2,machine08 1 • machine28 1
date137 item5048 6498 0 1,machine23 1
date178 item4008 179208 0 41,machine05 41
date092 item3829 6516 0 15,machine08 1 • machine09 3 • machine22 3 • machine29 3 • machine30 5
date015 item4804 6516 0 16,machine10 2 • machine21 2 • machine22 3 • machine23 4 • machine30 4
date054 item3172 6498 0 5,machine08 5
date050 item4694 179208 0 84,machine04 20 • machine05 40 • machine28 24
date041 item645 104092 0 10,machine04 2 • machine05 1 • machine09 2 • machine23 2 • machine35 3
date091 item3589 179208 0 107,machine05 107
date127 item3681 179208 0 106,machine01 46 • machine05 24 • machine20 36
date314 item3733 8493 0 9,machine10 9
date197 item4411 106952 0 501,machine01 70 • machine06 226 • machine16 20 • machine19 185
date171 item6365 20951 0 102,machine07 8 • machine08 8 • machine09 14 • machine14 11 • machine21 11 • machine22 15 • machine23 14 • machine28 9 • machine30 1 • machine35 11
date160 item2310 6498 0 4,machine21 1 • machine28 3
date242 item3246 179208 0 32,machine32 32
date009 item906 27256 0 4,machine21 2 • machine28 2
date044 item4558 113012 0 27,machine10 15 • machine28 12
date208 item5420 6498 1 2,machine23 2
date314 item3485 145749 0 100,machine01 12 • machine03 12 • machine05 13 • machine06 15 • machine19 19 • machine20 10 • machine32 12 • machine33 6
date291 item4345 52115 1 11,machine04 6 • machine22 5
date310 item2658 6498 0 2,machine10 1 • machine28 1
date057 item3714 104092 0 88,machine01 15 • machine06 17 • machine16 19 • machine17 17 • machine19 20
date305 item2523 179208 0 48,machine20 48
date129 item1004 106952 0 13,machine05 5 • machine20 4 • machine33 4
date219 item4348 8226 0 40,machine09 2 • machine10 7 • machine14 6 • machine21 4 • machine22 2 • machine23 6 • machine28 4 • machine30 7 • machine35 3
date172 item4745 104092 0 49,machine07 6 • machine08 16 • machine09 16 • machine14 8 • machine33 3
date256 item4449 86821 1 3,machine23 3
date276 item6319 6498 0 2,machine29 2
date084 item317 6516 1 16,machine10 3 • machine21 4 • machine24 1 • machine25 4 • machine30 4 • machine34 1
date299 item1840 18691 0 5,machine29 5
date355 item4551 12834 0 4,machine04 1 • machine08 1 • machine14 1
date317 item6209 145749 0 249,machine01 37 • machine03 36 • machine05 39 • machine06 44 • machine16 30 • machine19 8 • machine20 31 • machine32 24
date285 item1669 179208 0 31,machine19 31
date092 item2434 12881 0 4,machine31 4
date157 item5506 106952 0 16,machine05 4 • machine08 3 • machine29 5 • machine32 4
date365 item5033 179208 0 104,machine05 104
date276 item5411 52115 0 11,machine14 1 • machine29 10
date107 item4506 6498 1 3,machine23 3
date036 item2836 106952 0 10,machine10 2 • machine21 2 • machine23 3 • machine28 3
date155 item3933 12196 0 90,machine04 10 • machine08 4 • machine09 11 • machine10 13 • machine14 12 • machine21 3 • machine28 9 • machine29 9 • machine30 7 • machine31 8 • machine34 5
date248 item2766 8065 0 3,machine10 2 • machine21 1
date291 item4510 6498 0 4,machine30 4
date080 item1955 179208 1 75,machine06 55 • machine32 20
date242 item4997 104092 0 53,machine02 4 • machine03 18 • machine06 1 • machine16 25 • machine17 6
date286 item615 27256 1 10,machine14 4 • machine23 3 • machine29 4
date302 item116 6498 1 12,machine08 4 • machine09 8
date008 item2221 22142 0 19,machine08 2 • machine09 7 • machine21 3 • machine28 7
date157 item5877 20470 0 36,machine08 2 • machine09 8 • machine14 3 • machine21 7 • machine22 8 • machine23 3 • machine25 1 • machine28 5
date302 item5058 27256 0 6,machine21 1 • machine30 4 • machine35 1
date315 item3831 29252 0 24,machine10 11 • machine23 5 • machine29 8
date279 item5352 179208 0 68,machine19 68
date257 item5875 6516 0 6,machine22 2 • machine28 2 • machine35 2
date158 item1558 12881 0 18,machine08 9 • machine09 9
date219 item6302 52115 0 6,machine32 6
date278 item6193 27271 0 108,machine07 11 • machine08 7 • machine09 4 • machine14 16 • machine15 12 • machine21 5 • machine22 19 • machine23 16 • machine28 7 • machine33 6 • machine34 2 • machine35 4
date331 item5129 6516 0 2,machine21 1 • machine30 1
date331 item3809 18691 0 5,machine28 5
date084 item283 27256 1 6,machine07 1 • machine15 4 • machine30 1
date321 item3610 179208 0 60,machine01 35 • machine17 25
date112 item3382 77242 0 14,machine21 14
date249 item921 179208 1 46,machine20 27 • machine33 19
date268 item3553 6498 0 2,machine08 1 • machine34 1
date086 item817 179208 0 18,machine23 18
date060 item76 6332 1 2,machine07 1 • machine28 1
date080 item3076 179208 0 22,machine04 9 • machine05 13
date236 item1286 12881 0 18,machine21 5 • machine30 13
date342 item4469 8493 0 2,machine22 2
date098 item1483 6498 0 2,machine23 2
date159 item1638 52115 0 6,machine09 6
date167 item1145 40745 0 114,machine04 11 • machine05 7 • machine06 8 • machine08 12 • machine09 10 • machine14 12 • machine18 1 • machine20 10 • machine21 12 • machine23 9 • machine28 2 • machine32 7 • machine33 13
date051 item5688 11735 0 32,machine07 5 • machine08 2 • machine09 2 • machine10 3 • machine14 1 • machine21 1 • machine22 3 • machine23 1 • machine28 1 • machine29 4 • machine30 3 • machine31 2 • machine33 3 • machine34 1
date118 item4984 6498 1 3,machine21 3
date112 item6224 33960 0 44,machine01 12 • machine09 6 • machine21 1 • machine22 1 • machine23 2 • machine29 9 • machine30 8 • machine31 5
date161 item211 33640 0 12,machine04 5 • machine11 6 • machine34 1
date062 item4367 8600 1 4,machine09 1 • machine21 1 • machine23 1 • machine28 1
date209 item367 8416 0 3,machine22 1 • machine30 1 • machine35 1
date282 item4392 8844 0 30,machine08 1 • machine21 12 • machine28 11 • machine33 5
date345 item4810 13232 0 19,machine10 4 • machine21 9 • machine22 1 • machine23 5
date292 item5453 6498 0 3,machine08 1 • machine10 2
date336 item226 14220 0 4,machine09 1 • machine10 1 • machine35 1
date218 item6131 179208 1 86,machine01 17 • machine02 69
date032 item4533 113012 0 27,machine02 4 • machine32 9 • machine33 14
date316 item4275 17118 0 6,machine04 1 • machine20 1 • machine22 1 • machine30 1 • machine35 1
date251 item4831 179208 0 26,machine20 26
date120 item3169 179208 0 32,machine32 32
date289 item680 6498 0 1,machine08 1
date038 item2233 6498 0 1,machine21 1
date088 item2397 6498 1 1,machine10 1
date306 item2003 6498 0 4,machine23 4
date185 item6089 9195 0 42,machine21 15 • machine29 7 • machine30 3 • machine32 12 • machine36 5
date288 item6152 179208 1 7,machine04 7
date010 item3069 6498 1 6,machine23 6
date141 item4482 73747 0 6,machine23 2 • machine30 2 • machine34 2
date186 item5321 179208 0 168,machine01 33 • machine04 79 • machine05 56
date321 item267 10156 0 2,nan
date021 item472 6498 0 6,machine31 6
date090 item1726 77242 0 7,machine22 7
date065 item4744 41048 1 92,machine04 19 • machine07 8 • machine08 2 • machine14 10 • machine20 15 • machine21 6 • machine28 1 • machine30 4 • machine31 16 • machine33 2 • machine35 11
date343 item992 104092 0 27,machine03 3 • machine06 6 • machine16 6 • machine17 7 • machine19 5
date224 item5000 179208 0 46,machine03 25 • machine06 21
date119 item4473 179208 0 76,machine05 76
date240 item368 6557 0 1,nan
date243 item1499 179208 0 42,machine04 19 • machine05 2 • machine28 21
date289 item1312 113012 0 27,machine04 9 • machine05 9 • machine20 8
date205 item1362 6498 0 6,machine10 2 • machine28 4
date045 item5001 104092 0 127,machine03 35 • machine05 38 • machine06 11 • machine19 16 • machine20 26
date311 item5518 179208 0 42,machine20 42
date294 item366 10156 0 3,machine10 1 • machine28 1 • machine35 1
date003 item4217 41048 1 168,machine04 17 • machine05 9 • machine08 23 • machine09 19 • machine10 14 • machine20 6 • machine21 19 • machine23 8 • machine28 14 • machine29 21 • machine30 16
date040 item1660 179208 0 45,machine23 45
date286 item1928 179208 0 15,machine05 3 • machine32 12
date006 item2070 179208 0 40,machine04 40
date328 item5607 77242 0 14,machine14 14
date129 item5316 6332 0 2,machine08 1 • machine30 1
date126 item5919 18691 0 5,machine08 1 • machine29 4
date258 item5128 6498 0 2,machine23 2
date348 item5890 179208 0 13,machine04 13
date207 item1367 104092 1 524,machine01 16 • machine02 12 • machine06 144 • machine16 26 • machine17 159 • machine19 167
date181 item5131 179208 0 13,machine23 13
date207 item1920 6498 1 1,machine23 1
date098 item1332 13140 0 9,machine08 5 • machine28 4
date197 item2737 6332 0 24,machine08 7 • machine21 4 • machine32 5 • machine33 9
date202 item6008 8065 0 8,machine14 8
date303 item4322 6498 0 1,machine21 1
date221 item3662 20470 0 21,machine08 1 • machine09 1 • machine10 4 • machine21 4 • machine28 3 • machine30 3 • machine33 2 • machine35 3
date073 item5022 179208 0 18,machine19 18
date234 item3571 8065 0 2,machine09 2
date227 item1744 179208 0 12,machine29 12
date265 item5869 179208 0 12,machine24 12
date188 item6123 7168 0 34,machine08 2 • machine09 9 • machine21 4 • machine22 8 • machine23 10
date166 item1174 46140 0 8,machine01 1 • machine03 2 • machine05 1 • machine17 2 • machine32 1 • machine33 1
date115 item629 6332 0 14,machine08 5 • machine12 4 • machine14 2 • machine29 3
date268 item3083 52115 0 5,machine10 5
date098 item5402 6498 0 7,machine29 7
date304 item4974 6498 1 2,machine28 1 • machine35 1
date109 item4783 86821 0 15,machine10 15
