order,gt
"• date190 item1445 8493 0 4
• date190 item1445 8493 0 4","• item1445 machine29 date190 3
• item1445 machine30 date190 1"
"• date181 item3496 10666 0 4
• date181 item3496 10666 0 4
• date181 item3496 10666 0 4
• date181 item3496 10666 0 4
• date181 item3496 10666 0 4
• date181 item3496 10666 0 4
• date181 item3496 10666 0 4","• item3496 machine08 date181 1
• item3496 machine10 date181 1
• item3496 machine28 date181 1
• item3496 machine32 date181 1"
"• date243 item6102 179208 0 80
• date243 item6102 179208 0 80
• date243 item6102 179208 0 80","• item6102 machine01 date243 6
• item6102 machine21 date243 44
• item6102 machine23 date243 30"
"• date273 item4665 22344 0 24
• date273 item4665 22344 0 24
• date273 item4665 22344 0 24
• date273 item4665 22344 0 24
• date273 item4665 22344 0 24","• item4665 machine08 date273 8
• item4665 machine10 date273 9
• item4665 machine21 date273 2
• item4665 machine22 date273 3
• item4665 machine28 date273 2"
• date023 item5756 8493 0 4,• item5756 machine04 date023 4
"• date099 item3373 27907 0 22
• date099 item3373 27907 0 22
• date099 item3373 27907 0 22","• item3373 machine10 date099 12
• item3373 machine23 date099 9
• item3373 machine28 date099 1"
• date180 item4122 6498 0 2,• item4122 machine30 date180 2
"• date133 item2229 34128 0 8
• date133 item2229 34128 0 8
• date133 item2229 34128 0 8
• date133 item2229 34128 0 8","• item2229 machine10 date133 2
• item2229 machine23 date133 2
• item2229 machine28 date133 3"
• date203 item644 18691 0 5,• item644 machine23 date203 5
• date303 item6011 13140 1 2,• item6011 machine08 date303 2
• date284 item804 6498 0 1,• item804 machine22 date284 1
• date227 item3628 6498 0 5,• item3628 machine22 date227 5
"• date029 item6500 6498 1 12
• date029 item6500 6498 1 12","• item6500 machine08 date029 7
• item6500 machine09 date029 5"
"• date167 item2201 31029 0 9
• date167 item2201 31029 0 9
• date167 item2201 31029 0 9
• date167 item2201 31029 0 9","• item2201 machine18 date167 3
• item2201 machine20 date167 2
• item2201 machine32 date167 4"
"• date045 item348 6498 0 2
• date045 item348 6498 0 2","• item348 machine22 date045 1
• item348 machine30 date045 1"
"• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394
• date335 item6257 105576 0 394","• item6257 machine01 date335 26
• item6257 machine03 date335 70
• item6257 machine05 date335 93
• item6257 machine06 date335 32
• item6257 machine17 date335 11
• item6257 machine19 date335 22
• item6257 machine20 date335 100
• item6257 machine32 date335 35
• item6257 machine33 date335 5"
"• date159 item4251 8416 1 28
• date159 item4251 8416 1 28
• date159 item4251 8416 1 28
• date159 item4251 8416 1 28
• date159 item4251 8416 1 28
• date159 item4251 8416 1 28
• date159 item4251 8416 1 28","• item4251 machine08 date159 8
• item4251 machine09 date159 5
• item4251 machine10 date159 5
• item4251 machine21 date159 3
• item4251 machine23 date159 4
• item4251 machine28 date159 1
• item4251 machine30 date159 2"
• date341 item3374 179208 0 10,• item3374 machine05 date341 10
"• date351 item5972 81204 0 8
• date351 item5972 81204 0 8","• item5972 machine05 date351 3
• item5972 machine32 date351 5"
"• date220 item2040 8000 0 14
• date220 item2040 8000 0 14
• date220 item2040 8000 0 14
• date220 item2040 8000 0 14","• item2040 machine08 date220 3
• item2040 machine23 date220 2
• item2040 machine28 date220 5
• item2040 machine29 date220 4"
• date362 item4984 6498 0 1,• item4984 machine21 date362 1
• date139 item1642 77242 0 3,• item1642 machine08 date139 3
• date249 item1753 179208 0 15,• item1753 machine32 date249 15
"• date325 item5287 179208 0 66
• date325 item5287 179208 0 66
• date325 item5287 179208 0 66","• item5287 machine01 date325 2
• item5287 machine06 date325 51
• item5287 machine19 date325 13"
"• date072 item5468 33640 0 4
• date072 item5468 33640 0 4
• date072 item5468 33640 0 4","• item5468 machine07 date072 1
• item5468 machine08 date072 2
• item5468 machine35 date072 1"
"• date267 item3655 6332 0 6
• date267 item3655 6332 0 6
• date267 item3655 6332 0 6
• date267 item3655 6332 0 6","• item3655 machine10 date267 2
• item3655 machine21 date267 1
• item3655 machine22 date267 2
• item3655 machine23 date267 1"
• date091 item4104 179208 1 128,• item4104 machine06 date091 128
• date049 item836 179208 1 24,• item836 machine23 date049 24
• date162 item2104 6498 0 3,• item2104 machine08 date162 3
• date082 item2773 179208 1 6,• item2773 machine21 date082 6
• date346 item1731 6498 0 3,• item1731 machine29 date346 3
"• date314 item3118 106952 0 14
• date314 item3118 106952 0 14
• date314 item3118 106952 0 14
• date314 item3118 106952 0 14","• item3118 machine04 date314 5
• item3118 machine05 date314 3
• item3118 machine20 date314 4
• item3118 machine32 date314 3"
• date162 item2990 6498 0 3,• item2990 machine21 date162 3
• date070 item5763 6498 0 1,• item5763 machine25 date070 1
"• date290 item5645 15015 0 50
• date290 item5645 15015 0 50
• date290 item5645 15015 0 50
• date290 item5645 15015 0 50","• item5645 machine09 date290 22
• item5645 machine23 date290 4
• item5645 machine28 date290 4
• item5645 machine30 date290 19"
"• date138 item5086 179208 1 122
• date138 item5086 179208 1 122","• item5086 machine06 date138 20
• item5086 machine19 date138 102"
• date321 item4898 77242 0 3,• item4898 machine28 date321 3
"• date196 item2432 77242 0 7
• date196 item2432 77242 0 7",• item2432 machine28 date196 7
"• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70
• date141 item240 8641 0 70","• item240 machine04 date141 3
• item240 machine07 date141 9
• item240 machine08 date141 15
• item240 machine15 date141 5
• item240 machine21 date141 8
• item240 machine22 date141 6
• item240 machine31 date141 9
• item240 machine32 date141 1
• item240 machine34 date141 8
• item240 machine35 date141 6"
"• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252
• date153 item4844 98424 0 252","• item4844 machine01 date153 35
• item4844 machine03 date153 26
• item4844 machine05 date153 46
• item4844 machine06 date153 9
• item4844 machine10 date153 13
• item4844 machine16 date153 12
• item4844 machine19 date153 27
• item4844 machine20 date153 18
• item4844 machine28 date153 22
• item4844 machine32 date153 39
• item4844 machine33 date153 6"
"• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130
• date326 item3966 26335 0 130","• item3966 machine04 date326 13
• item3966 machine05 date326 2
• item3966 machine08 date326 17
• item3966 machine09 date326 17
• item3966 machine10 date326 12
• item3966 machine14 date326 17
• item3966 machine21 date326 1
• item3966 machine23 date326 4
• item3966 machine28 date326 7
• item3966 machine29 date326 16
• item3966 machine32 date326 12
• item3966 machine33 date326 14"
• date210 item3428 77242 0 3,• item3428 machine23 date210 3
• date353 item2359 6498 0 1,• item2359 machine14 date353 1
"• date351 item2805 179208 0 27
• date351 item2805 179208 0 27","• item2805 machine10 date351 24
• item2805 machine28 date351 3"
• date202 item1684 179208 1 12,• item1684 machine23 date202 12
"• date028 item4903 34772 1 5
• date028 item4903 34772 1 5
• date028 item4903 34772 1 5","• item4903 machine10 date028 3
• item4903 machine22 date028 2"
"• date099 item4953 101291 0 19
• date099 item4953 101291 0 19",• item4953 machine33 date099 19
"• date282 item4899 10500 0 25
• date282 item4899 10500 0 25
• date282 item4899 10500 0 25
• date282 item4899 10500 0 25
• date282 item4899 10500 0 25
• date282 item4899 10500 0 25
• date282 item4899 10500 0 25","• item4899 machine08 date282 3
• item4899 machine10 date282 6
• item4899 machine21 date282 4
• item4899 machine22 date282 4
• item4899 machine28 date282 4
• item4899 machine30 date282 2
• item4899 machine35 date282 3"
"• date179 item2341 104092 0 120
• date179 item2341 104092 0 120
• date179 item2341 104092 0 120
• date179 item2341 104092 0 120
• date179 item2341 104092 0 120","• item2341 machine04 date179 3
• item2341 machine05 date179 21
• item2341 machine20 date179 45
• item2341 machine32 date179 25
• item2341 machine33 date179 26"
"• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244
• date153 item1178 40551 0 244","• item1178 machine04 date153 19
• item1178 machine05 date153 26
• item1178 machine07 date153 5
• item1178 machine08 date153 21
• item1178 machine09 date153 15
• item1178 machine10 date153 7
• item1178 machine14 date153 11
• item1178 machine20 date153 18
• item1178 machine21 date153 16
• item1178 machine22 date153 8
• item1178 machine23 date153 14
• item1178 machine28 date153 20
• item1178 machine30 date153 23
• item1178 machine33 date153 13
• item1178 machine34 date153 15
• item1178 machine35 date153 10"
"• date350 item5854 13583 0 44
• date350 item5854 13583 0 44
• date350 item5854 13583 0 44
• date350 item5854 13583 0 44
• date350 item5854 13583 0 44","• item5854 machine08 date350 16
• item5854 machine09 date350 7
• item5854 machine21 date350 9
• item5854 machine23 date350 9
• item5854 machine30 date350 3"
"• date278 item2829 104092 0 284
• date278 item2829 104092 0 284
• date278 item2829 104092 0 284
• date278 item2829 104092 0 284
• date278 item2829 104092 0 284","• item2829 machine01 date278 50
• item2829 machine03 date278 47
• item2829 machine06 date278 65
• item2829 machine16 date278 64
• item2829 machine19 date278 58"
"• date327 item5416 8493 0 4
• date327 item5416 8493 0 4","• item5416 machine07 date327 1
• item5416 machine14 date327 3"
"• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12
• date282 item4919 100388 0 12","• item4919 machine01 date282 1
• item4919 machine04 date282 1
• item4919 machine05 date282 1
• item4919 machine06 date282 1
• item4919 machine10 date282 1
• item4919 machine19 date282 2
• item4919 machine20 date282 1
• item4919 machine28 date282 1
• item4919 machine29 date282 2
• item4919 machine32 date282 1"
"• date003 item454 73747 0 36
• date003 item454 73747 0 36
• date003 item454 73747 0 36","• item454 machine21 date003 15
• item454 machine22 date003 7
• item454 machine30 date003 14"
"• date300 item2801 6498 0 4
• date300 item2801 6498 0 4","• item2801 machine21 date300 2
• item2801 machine28 date300 2"
"• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3
• date223 item739 9518 0 3",• item739 machine21 date223 1
• date136 item1792 179208 0 80,• item1792 machine19 date136 80
"• date259 item3184 6498 0 1
• date259 item3184 6498 0 1",• item3184 machine23 date259 1
"• date315 item6064 50351 1 7
• date315 item6064 50351 1 7
• date315 item6064 50351 1 7
• date315 item6064 50351 1 7","• item6064 machine04 date315 2
• item6064 machine08 date315 2
• item6064 machine09 date315 1
• item6064 machine34 date315 1"
"• date197 item3032 6498 0 2
• date197 item3032 6498 0 2","• item3032 machine10 date197 1
• item3032 machine28 date197 1"
• date250 item2851 81204 0 8,• item2851 machine23 date250 8
• date067 item4721 179208 0 20,• item4721 machine18 date067 20
• date347 item6337 6498 1 4,• item6337 machine09 date347 4
"• date305 item5625 179208 0 53
• date305 item5625 179208 0 53","• item5625 machine04 date305 44
• item5625 machine05 date305 9"
"• date299 item5275 9195 0 4
• date299 item5275 9195 0 4
• date299 item5275 9195 0 4
• date299 item5275 9195 0 4
• date299 item5275 9195 0 4
• date299 item5275 9195 0 4","• item5275 machine21 date299 1
• item5275 machine22 date299 1
• item5275 machine23 date299 1
• item5275 machine30 date299 1"
• date068 item700 6498 0 1,• item700 machine21 date068 1
"• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12
• date331 item676 105576 0 12","• item676 machine08 date331 2
• item676 machine10 date331 3
• item676 machine14 date331 1
• item676 machine23 date331 3
• item676 machine28 date331 1
• item676 machine29 date331 1
• item676 machine33 date331 1
• item676 machine34 date331 1"
"• date230 item5920 6516 0 3
• date230 item5920 6516 0 3
• date230 item5920 6516 0 3
• date230 item5920 6516 0 3
• date230 item5920 6516 0 3
• date230 item5920 6516 0 3","• item5920 machine08 date230 1
• item5920 machine21 date230 1
• item5920 machine22 date230 1"
• date023 item2248 6498 0 3,• item2248 machine23 date023 3
• date146 item5596 6498 0 1,• item5596 machine21 date146 1
• date123 item2486 52115 0 12,• item2486 machine20 date123 12
"• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8
• date329 item579 41048 0 8","• item579 machine04 date329 1
• item579 machine05 date329 1
• item579 machine09 date329 1
• item579 machine20 date329 1
• item579 machine23 date329 1
• item579 machine34 date329 1"
• date294 item1797 103554 0 9,• item1797 machine32 date294 9
• date286 item1518 179208 0 14,• item1518 machine05 date286 14
"• date365 item844 81204 0 34
• date365 item844 81204 0 34","• item844 machine04 date365 27
• item844 machine20 date365 7"
"• date241 item12 40311 1 88
• date241 item12 40311 1 88
• date241 item12 40311 1 88
• date241 item12 40311 1 88
• date241 item12 40311 1 88","• item12 machine04 date241 27
• item12 machine08 date241 22
• item12 machine09 date241 17
• item12 machine16 date241 15
• item12 machine29 date241 7"
"• date158 item5740 104092 0 160
• date158 item5740 104092 0 160
• date158 item5740 104092 0 160
• date158 item5740 104092 0 160
• date158 item5740 104092 0 160","• item5740 machine04 date158 12
• item5740 machine08 date158 25
• item5740 machine09 date158 52
• item5740 machine20 date158 54
• item5740 machine21 date158 17"
"• date192 item646 104092 0 11
• date192 item646 104092 0 11
• date192 item646 104092 0 11
• date192 item646 104092 0 11
• date192 item646 104092 0 11
• date192 item646 104092 0 11","• item646 machine04 date192 1
• item646 machine05 date192 2
• item646 machine10 date192 2
• item646 machine20 date192 2
• item646 machine23 date192 1
• item646 machine34 date192 2"
• date362 item1403 8493 0 9,• item1403 machine09 date362 9
• date300 item2568 6498 0 3,• item2568 machine21 date300 3
• date060 item3073 12881 0 2,• item3073 machine23 date060 2
"• date047 item1987 6516 0 3
• date047 item1987 6516 0 3
• date047 item1987 6516 0 3
• date047 item1987 6516 0 3
• date047 item1987 6516 0 3","• item1987 machine10 date047 1
• item1987 machine32 date047 1"
• date114 item5251 179208 1 66,• item5251 machine20 date114 66
"• date113 item6205 81204 0 8
• date113 item6205 81204 0 8","• item6205 machine19 date113 4
• item6205 machine32 date113 4"
"• date265 item5651 52115 1 22
• date265 item5651 52115 1 22","• item5651 machine10 date265 18
• item5651 machine28 date265 4"
"• date130 item3885 179208 0 34
• date130 item3885 179208 0 34","• item3885 machine05 date130 2
• item3885 machine29 date130 32"
• date296 item3166 179208 0 36,• item3166 machine05 date296 36
"• date255 item6613 27256 0 10
• date255 item6613 27256 0 10
• date255 item6613 27256 0 10","• item6613 machine24 date255 1
• item6613 machine30 date255 3
• item6613 machine31 date255 6"
"• date224 item5025 52115 1 24
• date224 item5025 52115 1 24","• item5025 machine10 date224 15
• item5025 machine22 date224 9"
"• date351 item5687 9195 1 42
• date351 item5687 9195 1 42
• date351 item5687 9195 1 42
• date351 item5687 9195 1 42
• date351 item5687 9195 1 42","• item5687 machine07 date351 2
• item5687 machine14 date351 14
• item5687 machine21 date351 5
• item5687 machine34 date351 7
• item5687 machine35 date351 14"
• date290 item5642 8493 0 9,• item5642 machine28 date290 9
"• date340 item4502 15015 0 24
• date340 item4502 15015 0 24
• date340 item4502 15015 0 24
• date340 item4502 15015 0 24","• item4502 machine05 date340 8
• item4502 machine14 date340 8
• item4502 machine21 date340 3
• item4502 machine30 date340 5"
• date154 item2029 103554 0 19,• item2029 machine23 date154 19
"• date099 item687 179208 0 10
• date099 item687 179208 0 10","• item687 machine10 date099 5
• item687 machine23 date099 5"
"• date110 item2983 12881 0 4
• date110 item2983 12881 0 4","• item2983 machine10 date110 2
• item2983 machine21 date110 2"
"• date315 item3594 17409 0 40
• date315 item3594 17409 0 40
• date315 item3594 17409 0 40
• date315 item3594 17409 0 40","• item3594 machine08 date315 10
• item3594 machine10 date315 12
• item3594 machine21 date315 13
• item3594 machine23 date315 5"
• date346 item2555 6498 0 1,• item2555 machine21 date346 1
"• date161 item522 14901 1 5
• date161 item522 14901 1 5
• date161 item522 14901 1 5
• date161 item522 14901 1 5
• date161 item522 14901 1 5
• date161 item522 14901 1 5","• item522 machine08 date161 2
• item522 machine09 date161 1
• item522 machine23 date161 1
• item522 machine28 date161 1"
• date099 item2343 6498 1 3,• item2343 machine21 date099 3
"• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64
• date362 item5749 23148 0 64","• item5749 machine03 date362 7
• item5749 machine08 date362 12
• item5749 machine09 date362 13
• item5749 machine10 date362 6
• item5749 machine14 date362 13
• item5749 machine21 date362 1
• item5749 machine23 date362 7
• item5749 machine28 date362 5"
"• date064 item5665 13232 0 32
• date064 item5665 13232 0 32
• date064 item5665 13232 0 32
• date064 item5665 13232 0 32","• item5665 machine07 date064 12
• item5665 machine09 date064 7
• item5665 machine21 date064 11
• item5665 machine34 date064 1"
"• date217 item1487 6498 0 2
• date217 item1487 6498 0 2","• item1487 machine29 date217 1
• item1487 machine30 date217 1"
• date032 item1062 179208 0 73,• item1062 machine02 date032 73
"• date350 item6616 15483 0 60
• date350 item6616 15483 0 60
• date350 item6616 15483 0 60
• date350 item6616 15483 0 60
• date350 item6616 15483 0 60
• date350 item6616 15483 0 60
• date350 item6616 15483 0 60","• item6616 machine04 date350 10
• item6616 machine08 date350 9
• item6616 machine10 date350 7
• item6616 machine14 date350 15
• item6616 machine15 date350 4
• item6616 machine21 date350 4
• item6616 machine28 date350 11"
"• date041 item723 6498 0 8
• date041 item723 6498 0 8","• item723 machine09 date041 2
• item723 machine28 date041 6"
"• date052 item4947 6516 0 22
• date052 item4947 6516 0 22
• date052 item4947 6516 0 22
• date052 item4947 6516 0 22
• date052 item4947 6516 0 22
• date052 item4947 6516 0 22","• item4947 machine08 date052 1
• item4947 machine09 date052 5
• item4947 machine10 date052 5
• item4947 machine21 date052 3
• item4947 machine23 date052 4
• item4947 machine30 date052 5"
• date314 item695 6498 0 1,• item695 machine23 date314 1
"• date234 item4305 102669 0 8
• date234 item4305 102669 0 8
• date234 item4305 102669 0 8","• item4305 machine08 date234 3
• item4305 machine21 date234 3
• item4305 machine30 date234 2"
"• date247 item4487 6516 1 24
• date247 item4487 6516 1 24
• date247 item4487 6516 1 24
• date247 item4487 6516 1 24
• date247 item4487 6516 1 24
• date247 item4487 6516 1 24","• item4487 machine07 date247 6
• item4487 machine08 date247 3
• item4487 machine09 date247 4
• item4487 machine21 date247 4
• item4487 machine22 date247 5
• item4487 machine30 date247 1"
"• date194 item1144 27907 0 22
• date194 item1144 27907 0 22
• date194 item1144 27907 0 22","• item1144 machine08 date194 6
• item1144 machine09 date194 8
• item1144 machine10 date194 7"
"• date350 item3910 47491 0 7
• date350 item3910 47491 0 7
• date350 item3910 47491 0 7
• date350 item3910 47491 0 7
• date350 item3910 47491 0 7
• date350 item3910 47491 0 7","• item3910 machine05 date350 1
• item3910 machine08 date350 1
• item3910 machine14 date350 2
• item3910 machine22 date350 2
• item3910 machine28 date350 2"
• date227 item2895 6498 0 1,• item2895 machine21 date227 1
• date211 item2519 8493 0 8,• item2519 machine21 date211 8
• date089 item1782 18691 0 2,• item1782 machine29 date089 2
"• date209 item1613 104092 0 13
• date209 item1613 104092 0 13
• date209 item1613 104092 0 13
• date209 item1613 104092 0 13
• date209 item1613 104092 0 13","• item1613 machine01 date209 5
• item1613 machine04 date209 3
• item1613 machine09 date209 1
• item1613 machine21 date209 4"
"• date204 item690 15015 0 42
• date204 item690 15015 0 42
• date204 item690 15015 0 42
• date204 item690 15015 0 42","• item690 machine10 date204 8
• item690 machine23 date204 12
• item690 machine29 date204 17
• item690 machine34 date204 5"
• date051 item5497 12881 1 9,• item5497 machine04 date051 9
"• date181 item3757 27256 0 14
• date181 item3757 27256 0 14
• date181 item3757 27256 0 14","• item3757 machine10 date181 6
• item3757 machine23 date181 5
• item3757 machine28 date181 3"
"• date197 item5971 15218 0 6
• date197 item5971 15218 0 6
• date197 item5971 15218 0 6
• date197 item5971 15218 0 6
• date197 item5971 15218 0 6
• date197 item5971 15218 0 6","• item5971 machine05 date197 1
• item5971 machine17 date197 2
• item5971 machine32 date197 1
• item5971 machine33 date197 2"
• date201 item4066 179208 0 57,• item4066 machine06 date201 57
"• date313 item771 6498 0 2
• date313 item771 6498 0 2","• item771 machine08 date313 1
• item771 machine30 date313 1"
"• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146
• date182 item639 145749 0 146","• item639 machine01 date182 29
• item639 machine04 date182 4
• item639 machine05 date182 30
• item639 machine18 date182 22
• item639 machine20 date182 14
• item639 machine21 date182 17
• item639 machine32 date182 11
• item639 machine33 date182 19"
"• date035 item4994 6498 0 2
• date035 item4994 6498 0 2",• item4994 machine23 date035 2
"• date300 item5325 50351 1 30
• date300 item5325 50351 1 30
• date300 item5325 50351 1 30
• date300 item5325 50351 1 30","• item5325 machine08 date300 4
• item5325 machine14 date300 9
• item5325 machine21 date300 14
• item5325 machine28 date300 3"
"• date237 item4707 179208 0 56
• date237 item4707 179208 0 56","• item4707 machine08 date237 2
• item4707 machine33 date237 54"
"• date172 item842 43937 0 33
• date172 item842 43937 0 33
• date172 item842 43937 0 33
• date172 item842 43937 0 33","• item842 machine04 date172 12
• item842 machine08 date172 12
• item842 machine09 date172 8
• item842 machine16 date172 1"
• date309 item1996 52115 0 6,• item1996 machine23 date309 6
"• date361 item5656 14901 0 27
• date361 item5656 14901 0 27
• date361 item5656 14901 0 27
• date361 item5656 14901 0 27
• date361 item5656 14901 0 27","• item5656 machine09 date361 2
• item5656 machine10 date361 7
• item5656 machine21 date361 6
• item5656 machine28 date361 5
• item5656 machine30 date361 6"
"• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4
• date363 item5379 12196 0 4","• item5379 machine08 date363 1
• item5379 machine10 date363 1
• item5379 machine22 date363 1"
• date143 item1847 6498 1 3,• item1847 machine23 date143 3
"• date320 item5457 6516 0 3
• date320 item5457 6516 0 3
• date320 item5457 6516 0 3
• date320 item5457 6516 0 3
• date320 item5457 6516 0 3
• date320 item5457 6516 0 3","• item5457 machine10 date320 1
• item5457 machine21 date320 1"
• date077 item3257 81204 0 4,• item3257 machine21 date077 4
"• date303 item4928 13232 0 32
• date303 item4928 13232 0 32
• date303 item4928 13232 0 32
• date303 item4928 13232 0 32","• item4928 machine04 date303 11
• item4928 machine09 date303 9
• item4928 machine21 date303 6
• item4928 machine28 date303 6"
• date024 item910 179208 0 22,• item910 machine19 date024 22
• date280 item5608 179208 0 45,• item5608 machine05 date280 45
• date122 item1625 6498 1 1,• item1625 machine10 date122 1
• date101 item2227 52115 0 3,• item2227 machine04 date101 3
"• date340 item1903 73747 0 18
• date340 item1903 73747 0 18
• date340 item1903 73747 0 18","• item1903 machine23 date340 8
• item1903 machine29 date340 4
• item1903 machine32 date340 6"
"• date066 item3651 47491 1 90
• date066 item3651 47491 1 90
• date066 item3651 47491 1 90
• date066 item3651 47491 1 90
• date066 item3651 47491 1 90
• date066 item3651 47491 1 90","• item3651 machine05 date066 11
• item3651 machine08 date066 21
• item3651 machine14 date066 25
• item3651 machine21 date066 23
• item3651 machine32 date066 6
• item3651 machine33 date066 4"
"• date003 item3291 179208 0 21
• date003 item3291 179208 0 21","• item3291 machine05 date003 9
• item3291 machine16 date003 12"
• date026 item2760 179208 0 8,• item2760 machine32 date026 8
• date285 item1900 179208 0 15,• item1900 machine23 date285 15
"• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266
• date124 item4796 98424 0 266","• item4796 machine04 date124 28
• item4796 machine05 date124 25
• item4796 machine08 date124 27
• item4796 machine09 date124 38
• item4796 machine10 date124 9
• item4796 machine14 date124 37
• item4796 machine20 date124 5
• item4796 machine28 date124 38
• item4796 machine29 date124 6
• item4796 machine33 date124 19
• item4796 machine34 date124 34"
• date268 item1737 179208 0 14,• item1737 machine20 date268 14
• date177 item5049 6498 0 1,• item5049 machine23 date177 1
"• date099 item4439 104092 0 61
• date099 item4439 104092 0 61
• date099 item4439 104092 0 61
• date099 item4439 104092 0 61
• date099 item4439 104092 0 61
• date099 item4439 104092 0 61","• item4439 machine04 date099 8
• item4439 machine09 date099 11
• item4439 machine10 date099 16
• item4439 machine23 date099 9
• item4439 machine28 date099 5
• item4439 machine29 date099 11"
• date201 item4522 6498 0 2,• item4522 machine21 date201 2
"• date280 item6428 6498 0 4
• date280 item6428 6498 0 4","• item6428 machine09 date280 1
• item6428 machine28 date280 3"
"• date157 item1440 27256 0 3
• date157 item1440 27256 0 3
• date157 item1440 27256 0 3","• item1440 machine08 date157 1
• item1440 machine14 date157 1
• item1440 machine28 date157 1"
"• date297 item3598 179208 1 86
• date297 item3598 179208 1 86","• item3598 machine32 date297 30
• item3598 machine33 date297 56"
• date325 item3998 179208 0 116,• item3998 machine20 date325 116
• date183 item2650 77242 0 3,• item2650 machine21 date183 3
"• date089 item755 22344 1 54
• date089 item755 22344 1 54
• date089 item755 22344 1 54
• date089 item755 22344 1 54
• date089 item755 22344 1 54
• date089 item755 22344 1 54","• item755 machine09 date089 13
• item755 machine10 date089 8
• item755 machine21 date089 12
• item755 machine23 date089 6
• item755 machine28 date089 12
• item755 machine29 date089 3"
"• date065 item1927 104092 0 14
• date065 item1927 104092 0 14
• date065 item1927 104092 0 14
• date065 item1927 104092 0 14
• date065 item1927 104092 0 14","• item1927 machine04 date065 3
• item1927 machine05 date065 4
• item1927 machine06 date065 3
• item1927 machine20 date065 2
• item1927 machine32 date065 3"
"• date247 item3279 6498 0 6
• date247 item3279 6498 0 6","• item3279 machine23 date247 5
• item3279 machine28 date247 1"
"• date289 item2520 179208 0 45
• date289 item2520 179208 0 45","• item2520 machine09 date289 20
• item2520 machine28 date289 25"
• date302 item5046 6498 0 5,• item5046 machine28 date302 5
